chain,result,count
motif:backward_pawn|isolated_pawn|open_file|pawn_break,draw,14
motif:backward_pawn|isolated_pawn|open_file|pawn_break|rook_on_seventh,draw,5
motif:backward_pawn|double_attack|fork|open_file|pawn_break,draw,2
motif:backward_pawn|double_attack|king_attack|open_file,draw,17
motif:backward_pawn|double_attack|open_file,draw,2
motif:backward_pawn|king_attack|open_file|rook_on_seventh,draw,8
motif:backward_pawn|double_attack|king_attack|open_file|rook_on_seventh,draw,2
motif:backward_pawn|open_file,draw,19
motif:backward_pawn|king_attack|open_file|pin,draw,5
w:Kg2|b:Rh8,draw,1
motif:backward_pawn|double_attack|fork|king_attack|open_file,draw,2
b:Kg4|w:Kg1,draw,1
w:Qa6|b:Kg7,draw,1
motif:king_attack|open_file|pin,draw,5
